EURAL	EURAL (versie 2014)
100501	10 05 01 - scories provenant de la production primaire et secondaire
100503*	10 05 03* - poussières de filtration des fumées
100504	10 05 04 - autres fines et poussières
100505*	10 05 05* - déchets solides provenant de l'épuration des fumées
100506*	10 05 06* - boues et gâteaux de filtration provenant de l'épuration des fumées
100508*	10 05 08* - déchets provenant de l'épuration des eaux de refroidissement contenant des hydrocarbures
100509	10 05 09 - déchets provenant de l'épuration des eaux de refroidissement autres que ceux visés à la rubrique 10 05 08
100510*	10 05 10* - crasses et écumes inflammables ou émettant, au contact de l'eau, des gaz inflammables en quantités dangereuses
100511	10 05 11 - crasses et écumes autres que celles visées à la rubrique 10 05 10
100599	10 05 99 - déchets non spécifiés ailleurs
100601	10 06 01 - scories provenant de la production primaire et secondaire
100602	10 06 02 - crasses et écumes provenant de la production primaire et secondaire
100603*	10 06 03* - poussières de filtration des fumées
100604	10 06 04 - autres fines et poussières
100606*	10 06 06* - déchets solides provenant de l'épuration des fumées
100607*	10 06 07* - boues et gâteaux de filtration provenant de l'épuration des fumées
100609*	10 06 09* - déchets provenant de l'épuration des eaux de refroidissement contenant des hydrocarbures
100610	10 06 10 - déchets provenant de l'épuration des eaux de refroidissement autres que ceux visés à la rubrique 10 06 09
100699	10 06 99 - déchets non spécifiés ailleurs
100701	10 07 01 - scories provenant de la production primaire et secondaire
100702	10 07 02 - crasses et écumes provenant de la production primaire et secondaire
100703	10 07 03 - déchets solides provenant de l'épuration des fumées
100704	10 07 04 - autres fines et poussières
100705	10 07 05 - boues et gâteaux de filtration provenant de l'épuration des fumées
100707*	10 07 07* - déchets provenant de l'épuration des eaux de refroidissement contenant des hydrocarbures
100708	10 07 08 - déchets provenant de l'épuration des eaux de refroidissement autres que ceux visés à la rubrique 10 07 07
100799	10 07 99 - déchets non spécifiés ailleurs
100804	10 08 04 - fines et poussières
100808*	10 08 08* - scories salées provenant de la production primaire et secondaire
100809	10 08 09 - autres scories
100810*	10 08 10* - crasses et écumes inflammables ou émettant, au contact de l'eau, des gaz inflammables en quantités dangereuses
100811	10 08 11 - crasses et écumes autres que celles visées à la rubrique 10 08 10
100812*	10 08 12* - déchets goudronnés provenant de la fabrication des anodes
100813	10 08 13 - déchets carbonés provenant de la fabrication des anodes autres que ceux visés à la rubrique 10 08 12
100814	10 08 14 - déchets d'anodes
100815*	10 08 15* - poussières de filtration des fumées contenant des substances dangereuses
100816	10 08 16 - poussières de filtration des fumées autres que celles visées à la rubrique 10 08 15
100817*	10 08 17* - boues et gâteaux de filtration provenant de l'épuration des fumées contenant des substances dangereuses
100818	10 08 18 - boues et gâteaux de filtration provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 08 17
100819*	10 08 19* - déchets provenant de l'épuration des eaux de refroidissement contenant des hydrocarbures
100820	10 08 20 - déchets provenant de l'épuration des eaux de refroidissement autres que ceux visés à la rubrique 10 08 19
100899	10 08 99 - déchets non spécifiés ailleurs
100903	10 09 03 - laitiers de four de fonderie
100905*	10 09 05* - noyaux et moules de fonderie n'ayant pas subi la coulée contenant des substances dangereuses
100906	10 09 06 - noyaux et moules de fonderie n'ayant pas subi la coulée autres que ceux visés à la rubrique 10 09 05
100907*	10 09 07* - noyaux et moules de fonderie ayant subi la coulée contenant des substances dangereuses
100908	10 09 08 - noyaux et moules de fonderie ayant subi la coulée autres que ceux visés à la rubrique 10 09 07
100909*	10 09 09* - poussières de filtration des fumées contenant des substances dangereuses
100910	10 09 10 - poussières de filtration des fumées autres que celles visées à la rubrique 10 09 09
100911*	10 09 11* - autres fines contenant des substances dangereuses
100912	10 09 12 - autres fines non visées à la rubrique 10 09 11
100913*	10 09 13* - déchets de liants contenant des substances dangereuses
100914	10 09 14 - déchets de liants autres que ceux visés à la rubrique 10 09 13
100915*	10 09 15* - révélateur de criques usagé contenant des substances dangereuses
100916	10 09 16 - révélateur de criques usagé autre que celui visé à la rubrique 10 09 15
100999	10 09 99 - déchets non spécifiés ailleurs
101003	10 10 03 - laitiers de four de fonderie
101005*	10 10 05* - noyaux et moules de fonderie n'ayant pas subi la coulée contenant des substances dangereuses
101006	10 10 06 - noyaux et moules de fonderie n'ayant pas subi la coulée autres que ceux visés à la rubrique 10 10 05
101007*	10 10 07* - noyaux et moules de fonderie ayant subi la coulée contenant des substances dangereuses
101008	10 10 08 - noyaux et moules de fonderie ayant subi la coulée autres que ceux visés à la rubrique 10 10 07
101009*	10 10 09* - poussières de filtration des fumées contenant des substances dangereuses
101010	10 10 10 - poussières de filtration des fumées autres que celles visées à la rubrique 10 10 09
101011*	10 10 11* - autres fines contenant des substances dangereuses
101012	10 10 12 - autres fines non visées à la rubrique 10 10 11
101013*	10 10 13* - déchets de liants contenant des substances dangereuses
101014	10 10 14 - déchets de liants autres que ceux visés à la rubrique 10 10 13
101015*	10 10 15* - révélateur de criques usagé contenant des substances dangereuses
101016	10 10 16 - révélateur de criques usagé autre que celui visé à la rubrique 10 10 15
101099	10 10 99 - déchets non spécifiés ailleurs
101103	10 11 03 - déchets de matériaux à base de fibre de verre
101105	10 11 05 - fines et poussières
101109*	10 11 09* - déchets de préparation avant cuisson contenant des substances dangereuses
101110	10 11 10 - déchets de préparation avant cuisson autres que ceux visés à la rubrique 10 11 09
101111*	10 11 11* - petites particules de déchets de verre et poudre de verre contenant des métaux lourds (par exemple tubes cathodiques)
101112	10 11 12 - déchets de verre autres que ceux visés à la rubrique 10 11 11
101113*	10 11 13* - boues de polissage et de meulage du verre contenant des substances dangereuses
101114	10 11 14 - boues de polissage et de meulage du verre autres que celles visées à la rubrique 10 11 13
101115*	10 11 15* - déchets solides provenant de l'épuration des fumées contenant des substances dangereuses
101116	10 11 16 - déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 11 15
101117*	10 11 17* - boues et gâteaux de filtration provenant de l'épuration des fumées contenant des substances dangereuses
101118	10 11 18 - boues et gâteaux de filtration provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 11 17
101119*	10 11 19* - déchets solides provenant du traitement in situ des effluents contenant des substances dangereuses
101120	10 11 20 - déchets solides provenant du traitement in situ des effluents autres que ceux visés à la rubrique 10 11 19
101199	10 11 99 - déchets non spécifiés ailleurs
101201	10 12 01 - déchets de préparation avant cuisson
101203	10 12 03 - fines et poussières
101205	10 12 05 - boues et gâteaux de filtration provenant de l'épuration des fumées
101206	10 12 06 - moules déclassés
101208	10 12 08 - déchets de produits en céramique, briques, carrelage et matériaux de construction (après cuisson)
101209*	10 12 09* - déchets solides provenant de l'épuration des fumées contenant des substances dangereuses
101210	10 12 10 - déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 12 09
101211*	10 12 11* - déchets de glaçure contenant des métaux lourds
101212	10 12 12 - déchets de glaçure autres que ceux visés à la rubrique 10 12 11
101213	10 12 13 - boues provenant du traitement in situ des effluents
101299	10 12 99 - déchets non spécifiés ailleurs
101301	10 13 01 - déchets de préparation avant cuisson
101304	10 13 04 - déchets de calcination et d'hydratation de la chaux
101306	10 13 06 - fines et poussières (sauf rubriques 10 13 12 et 10 13 13)
101307	10 13 07 - boues et gâteaux de filtration provenant de l'épuration des fumées
101309*	10 13 09* - déchets provenant de la fabrication d'amiante-ciment contenant de l'amiante
101310	10 13 10 - déchets provenant de la fabrication d'amiante-ciment autres que ceux visés à la rubrique 10 13 09
101311	10 13 11 - déchets provenant de la fabrication de matériaux composites à base de ciment autres que ceux visés aux rubriques 10 13 09 et 10 13 10
101312*	10 13 12* - déchets solides provenant de l'épuration des fumées contenant des substances dangereuses
101313	10 13 13 - déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 13 12
101314	10 13 14 - déchets et boues de béton
101399	10 13 99 - déchets non spécifiés ailleurs
101401*	10 14 01* - déchets provenant de l'épuration des fumées contenant du mercure
110105*	11 01 05* - acides de décapage
110106*	11 01 06* - acides non spécifiés ailleurs
110107*	11 01 07* - bases de décapage
110108*	11 01 08* - boues de phosphatation
110109*	11 01 09* - boues et gâteaux de filtration contenant des substances dangereuses
110110	11 01 10 - boues et gâteaux de filtration autres que ceux visés à la rubrique 11 01 09
110111*	11 01 11* - liquides aqueux de rinçage contenant des substances dangereuses
110112	11 01 12 - liquides aqueux de rinçage autres que ceux visés à la rubrique 11 01 11
110113*	11 01 13* - déchets de dégraissage contenant des substances dangereuses
110114	11 01 14 - déchets de dégraissage autres que ceux visés à la rubrique 11 01 13
110115*	11 01 15* - éluats et boues provenant des systèmes à membrane et des systèmes d'échange d'ions contenant des substances dangereuses
110116*	11 01 16* - résines échangeuses d'ions saturées ou usées
110198*	11 01 98* - autres déchets contenant des substances dangereuses
110199	11 01 99 - déchets non spécifiés ailleurs
110202*	11 02 02* - boues provenant de l'hydrométallurgie du zinc (y compris jarosite et goethite)
110203	11 02 03 - déchets provenant de la production d'anodes pour les procédés d'électrolyse aqueuse
110205*	11 02 05* - déchets provenant des procédés hydrométallurgiques du cuivre contenant des substances dangereuses
110206	11 02 06 - déchets provenant des procédés hydrométallurgiques du cuivre autres que ceux visés à la rubrique 11 02 05
110207*	11 02 07* - autres déchets contenant des substances dangereuses
110299	11 02 99 - déchets non spécifiés ailleurs
110301*	11 03 01* - déchets cyanurés
110302*	11 03 02* - autres déchets
110501	11 05 01 - mattes
110502	11 05 02 - cendres de zinc
110503*	11 05 03* - déchets solides provenant de l'épuration des fumées
110504*	11 05 04* - flux utilisé
110599	11 05 99 - déchets non spécifiés ailleurs
120101	12 01 01 - limaille et chutes de métaux ferreux
120102	12 01 02 - fines et poussières de métaux ferreux
120103	12 01 03 - limaille et chutes de métaux non ferreux
120104	12 01 04 - fines et poussières de métaux non ferreux
120105	12 01 05 - déchets de matières plastiques d'ébarbage et de tournage
120106*	12 01 06* - huiles d'usinage à base minérale contenant des halogènes (pas sous forme d'émulsions ou de solutions)
120107*	12 01 07* - huiles d'usinage à base minérale sans halogènes (pas sous forme d'émulsions ou de solutions)
120108*	12 01 08* - émulsions et solutions d'usinage contenant des halogènes
120109*	12 01 09* - émulsions et solutions d'usinage sans halogènes
120110*	12 01 10* - huiles d'usinage de synthèse
120112*	12 01 12* - déchets de cires et graisses
120113	12 01 13 - déchets de soudure
120114*	12 01 14* - boues d'usinage contenant des substances dangereuses
120115	12 01 15 - boues d'usinage autres que celles visées à la rubrique 12 01 14
120116*	12 01 16* - déchets de grenaillage contenant des substances dangereuses
120117	12 01 17 - déchets de grenaillage autres que ceux visés à la rubrique 12 01 16
120118*	12 01 18* - boues métalliques (provenant du meulage et de l'affûtage) contenant des hydrocarbures
120119*	12 01 19* - huiles d'usinage facilement biodégradables
120120*	12 01 20* - déchets de meulage et matériaux de meulage contenant des substances dangereuses
120121	12 01 21 - déchets de meulage et matériaux de meulage autres que ceux visés à la rubrique 12 01 20
120199	12 01 99 - déchets non spécifiés ailleurs
120301*	12 03 01* - liquides aqueux de nettoyage
120302*	12 03 02* - déchets du dégraissage à la vapeur
130101*	13 01 01* - huiles hydrauliques contenant des PCB
130104*	13 01 04* - huiles hydrauliques chlorées (émulsions)
130105*	13 01 05* - huiles hydrauliques non chlorées (émulsions)
130109*	13 01 09* - huiles hydrauliques chlorées à base minérale
130110*	13 01 10* - huiles hydrauliques non chlorées à base minérale
130111*	13 01 11* - huiles hydrauliques synthétiques
130112*	13 01 12* - huiles hydrauliques facilement biodégradables
130113*	13 01 13* - autres huiles hydrauliques
130204*	13 02 04* - huiles moteur, de boîte de vitesses et de lubrification chlorées à base minérale
130205*	13 02 05* - huiles moteur, de boîte de vitesses et de lubrification non chlorées à base minérale
130206*	13 02 06* - huiles moteur, de boîte de vitesses et de lubrification synthétiques
130207*	13 02 07* - huiles moteur, de boîte de vitesses et de lubrification facilement biodégradables
130208*	13 02 08* - autres huiles moteur, de boîte de vitesses et de lubrification
130301*	13 03 01* - huiles isolantes et fluides caloporteurs contenant des PCB
130306*	13 03 06* - huiles isolantes et fluides caloporteurs chlorés à base minérale autres que ceux visés à la rubrique 13 03 01
130307*	13 03 07* - huiles isolantes et fluides caloporteurs non chlorés à base minérale
130308*	13 03 08* - huiles isolantes et fluides caloporteurs synthétiques
130309*	13 03 09* - huiles isolantes et fluides caloporteurs facilement biodégradables
130310*	13 03 10* - autres huiles isolantes et fluides caloporteurs
130401*	13 04 01* - hydrocarbures de fond de cale provenant de la navigation fluviale
130402*	13 04 02* - hydrocarbures de fond de cale provenant de canalisations de môles
130403*	13 04 03* - hydrocarbures de fond de cale provenant d'un autre type de navigation
130501*	13 05 01* - déchets solides provenant de dessableurs et de séparateurs eau/hydrocarbures
130502*	13 05 02* - boues provenant de séparateurs eau/hydrocarbures
130503*	13 05 03* - boues provenant de déshuileurs
130506*	13 05 06* - hydrocarbures provenant de séparateurs eau/hydrocarbures
130507*	13 05 07* - eau mélangée à des hydrocarbures provenant de séparateurs eau/hydrocarbures
130508*	13 05 08* - mélanges de déchets provenant de dessableurs et de séparateurs eau/hydrocarbures
130701*	13 07 01* - fuel oil et diesel
130703*	13 07 03* - autres combustibles (y compris mélanges)
130801*	13 08 01* - boues ou émulsions de dessalage
130802*	13 08 02* - autres émulsions
130899*	13 08 99* - déchets non spécifiés ailleurs
140601*	14 06 01* - chlorofluorocarbones, HCFC, HFC
140602*	14 06 02* - autres solvants et mélanges de solvants halogénés
140603*	14 06 03* - autres solvants et mélanges de solvants
140604*	14 06 04* - boues ou déchets solides contenant des solvants halogénés
140605*	14 06 05* - boues ou déchets solides contenant d'autres solvants
150101	15 01 01 - emballages en papier/carton
150102	15 01 02 - emballages en matières plastiques
150103	15 01 03 - emballages en bois
150104	15 01 04 - emballages métalliques
150105	15 01 05 - emballages composites
150106	15 01 06 - emballages en mélange
150107	15 01 07 - emballages en verre
150109	15 01 09 - emballages textiles
150110*	15 01 10* - emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus
150111*	15 01 11* - emballages métalliques contenant une matrice poreuse solide dangereuse (par exemple amiante), y compris des conteneurs à pression vides
150202*	15 02 02* - absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses
150203	15 02 03 - absorbants, matériaux filtrants, chiffons d'essuyage et vêtements de protection autres que ceux visés à la rubrique 15 02 02
160103	16 01 03 - pneus hors d'usage
160104*	16 01 04* - véhicules hors d'usage
160106	16 01 06 - véhicules hors d'usage ne contenant ni liquides ni autres composants dangereux
160107*	16 01 07* - filtres à huile
160108*	16 01 08* - composants contenant du mercure
160109*	16 01 09* - composants contenant des PCB
160110*	16 01 10* - composants explosifs (par exemple coussins gonflables de sécurité)
160111*	16 01 11* - patins de freins contenant de l'amiante
160112	16 01 12 - patins de freins autres que ceux visés à la rubrique 16 01 11
160113*	16 01 13* - liquides de frein
160114*	16 01 14* - antigels contenant des substances dangereuses
160115	16 01 15 - antigels autres que ceux visés à la rubrique 16 01 14
160116	16 01 16 - réservoirs de gaz liquéfié
160117	16 01 17 - métaux ferreux
160118	16 01 18 - métaux non ferreux
160119	16 01 19 - matières plastiques
160121*	16 01 21* - composants dangereux autres que ceux visés aux rubriques 16 01 07 à 16 01 11, 16 01 13 et 16 01 14
160122	16 01 22 - composants non spécifiés ailleurs
160199	16 01 99 - déchets non spécifiés ailleurs
160209*	16 02 09* - transformateurs et accumulateurs contenant des PCB
160210*	16 02 10* - équipements mis au rebut contenant des PCB ou contaminés par de telles substances autres que ceux visés à la rubrique 16 02 09
160211*	16 02 11* - équipements mis au rebut contenant des chlorofluorocarbones, des HCFC ou des HFC
160212*	16 02 12* - équipements mis au rebut contenant de l'amiante libre
160213*	16 02 13* - équipements mis au rebut contenant des composants dangereux (3) autres que ceux visés aux rubriques 16 02 09 à 16 02 12
160214	16 02 14 - équipements mis au rebut autres que ceux visés aux rubriques 16 02 09 à 16 02 13
160215*	16 02 15* - composants dangereux retirés des équipements mis au rebut
160216	16 02 16 - composants retirés des équipements mis au rebut autres que ceux visés à la rubrique 16 02 15
160303*	16 03 03* - déchets d'origine minérale contenant des substances dangereuses
160304	16 03 04 - déchets d'origine minérale autres que ceux visés à la rubrique 16 03 03
160305*	16 03 05* - déchets d'origine organique contenant des substances dangereuses
160306	16 03 06 - déchets d'origine organique autres que ceux visés à la rubrique 16 03 05
160307*	16 03 07* - mercure métallique
160401*	16 04 01* - déchets de munitions
160402*	16 04 02* - déchets de feux d'artifice
160403*	16 04 03* - autres déchets d'explosifs
160504*	16 05 04* - gaz en récipients à pression (y compris les halons) contenant des substances dangereuses
160505	16 05 05 - gaz en récipients à pression autres que ceux visés à la rubrique 16 05 04
160506*	16 05 06* - produits chimiques de laboratoire à base de ou contenant des substances dangereuses, y compris les mélanges de produits chimiques de laboratoire
160507*	16 05 07* - produits chimiques d'origine minérale à base de ou contenant des substances dangereuses, mis au rebut
160508*	16 05 08* - produits chimiques d'origine organique à base de ou contenant des substances dangereuses, mis au rebut
160509	16 05 09 - produits chimiques mis au rebut autres que ceux visés aux rubriques 16 05 06, 16 05 07 ou 16 05 08
160601*	16 06 01* - accumulateurs au plomb
160602*	16 06 02* - accumulateurs Ni-Cd
160603*	16 06 03* - piles contenant du mercure
160604	16 06 04 - piles alcalines (sauf rubrique 16 06 03)
160605	16 06 05 - autres piles et accumulateurs
160606*	16 06 06* - électrolytes de piles et accumulateurs collectés séparément
160708*	16 07 08* - déchets contenant des hydrocarbures
160709*	16 07 09* - déchets contenant d'autres substances dangereuses
160799	16 07 99 - déchets non spécifiés ailleurs
160801	16 08 01 - catalyseurs usés contenant de l'or, de l'argent, du rhénium, du rhodium, du palladium, de l'iridium ou du platine (sauf rubrique 16 08 07)
160802*	16 08 02* - catalyseurs usés contenant des métaux ou composés de métaux de transition dangereux
160803	16 08 03 - catalyseurs usés contenant des métaux ou composés de métaux de transition non spécifiés ailleurs
160804	16 08 04 - catalyseurs usés de craquage catalytique sur lit fluide (sauf rubrique 16 08 07)
160805*	16 08 05* - catalyseurs usés contenant de l'acide phosphorique
160806*	16 08 06* - liquides usés employés comme catalyseurs
160807*	16 08 07* - catalyseurs usés contaminés par des substances dangereuses
160901*	16 09 01* - permanganates, par exemple, permanganate de potassium
160902*	16 09 02* - chromates, par exemple, chromate de potassium, dichromate de sodium ou de potassium
160903*	16 09 03* - peroxydes, par exemple, peroxyde d'hydrogène
160904*	16 09 04* - substances oxydantes non spécifiées ailleurs
161001*	16 10 01* - déchets liquides aqueux contenant des substances dangereuses
161002	16 10 02 - déchets liquides aqueux autres que ceux visés à la rubrique 16 10 01
161003*	16 10 03* - concentrés aqueux contenant des substances dangereuses
161004	16 10 04 - concentrés aqueux autres que ceux visés à la rubrique 16 10 03
161101*	16 11 01* - revêtements de fours et réfractaires à base de carbone provenant de procédés métallurgiques contenant des substances dangereuses
161102	16 11 02 - revêtements de fours et réfractaires à base de carbone provenant de procédés métallurgiques autres que ceux visés à la rubrique 16 11 01
161103*	16 11 03* - autres revêtements de fours et réfractaires provenant de procédés métallurgiques contenant des substances dangereuses
161104	16 11 04 - autres revêtements de fours et réfractaires provenant de procédés métallurgiques non visés à la rubrique 16 11 03
161105*	16 11 05* - revêtements de fours et réfractaires provenant de procédés non métallurgiques contenant des substances dangereuses
161106	16 11 06 - revêtements de fours et réfractaires provenant de procédés non métallurgiques autres que ceux visés à la rubrique 16 11 05
170101	17 01 01 - béton
170102	17 01 02 - briques
170103	17 01 03 - tuiles et céramiques
170106*	17 01 06* - mélanges ou fractions séparées de béton, briques, tuiles et céramiques contenant des substances dangereuses
170107	17 01 07 - mélanges de béton, briques, tuiles et céramiques autres que ceux visés à la rubrique 17 01 06
170201	17 02 01 - bois
170202	17 02 02 - verre
170203	17 02 03 - matières plastiques
170204*	17 02 04* - bois, verre et matières plastiques contenant des substances dangereuses ou contaminés par de telles substances
170301*	17 03 01* - mélanges bitumineux contenant du goudron
170302	17 03 02 - mélanges bitumineux autres que ceux visés à la rubrique 17 03 01
170303*	17 03 03* - goudron et produits goudronnés
170401	17 04 01 - cuivre, bronze, laiton
170402	17 04 02 - aluminium
170403	17 04 03 - plomb
170404	17 04 04 - zinc
170405	17 04 05 - fer et acier
170406	17 04 06 - étain
170407	17 04 07 - métaux en mélange
170409*	17 04 09* - déchets métalliques contaminés par des substances dangereuses
170410*	17 04 10* - câbles contenant des hydrocarbures, du goudron ou d'autres substances dangereuses
170411	17 04 11 - câbles autres que ceux visés à la rubrique 17 04 10
170503*	17 05 03* - terres et cailloux contenant des substances dangereuses
170504	17 05 04 - terres et cailloux autres que ceux visés à la rubrique 17 05 03
170505*	17 05 05* - boues de dragage contenant des substances dangereuses
170506	17 05 06 - boues de dragage autres que celles visées à la rubrique 17 05 05
170507*	17 05 07* - ballast de voie contenant des substances dangereuses
170508	17 05 08 - ballast de voie autre que celui visé à la rubrique 17 05 07
170601*	17 06 01* - matériaux d'isolation contenant de l'amiante
170603*	17 06 03* - autres matériaux d'isolation à base de ou contenant des substances dangereuses
170604	17 06 04 - matériaux d'isolation autres que ceux visés aux rubriques 17 06 01 et 17 06 03
170605*	17 06 05* - matériaux de construction contenant de l'amiante
170801*	17 08 01* - matériaux de construction à base de gypse contaminés par des substances dangereuses
170802	17 08 02 - matériaux de construction à base de gypse autres que ceux visés à la rubrique 17 08 01
170901*	17 09 01* - déchets de construction et de démolition contenant du mercure
170902*	17 09 02* - déchets de construction et de démolition contenant des PCB (par exemple, mastics, sols à base de résines, double vitrage, condensateurs, contenant des PCB)
170903*	17 09 03* - autres déchets de construction et de démolition (y compris en mélange) contenant des substances dangereuses
170904	17 09 04 - déchets de construction et de démolition en mélange autres que ceux visés aux rubriques 17 09 01, 17 09 02 et 17 09 03
180101	18 01 01 - objets piquants et coupants (sauf rubrique 18 01 03)
180102	18 01 02 - déchets anatomiques et organes, y compris sacs de sang et réserves de sang (sauf rubrique 18 01 03)
180103*	18 01 03* - déchets dont la collecte et l'élimination font l'objet de prescriptions particulières vis-à-vis des risques d'infection
180104	18 01 04 - déchets dont la collecte et l'élimination ne font pas l'objet de prescriptions particulières vis-à-vis des risques d'infection (par exemple vêtements, plâtres, draps, vêtements jetables, langes)
180106*	18 01 06* - produits chimiques à base de ou contenant des substances dangereuses
180107	18 01 07 - produits chimiques autres que ceux visés à la rubrique 18 01 06
180108*	18 01 08* - médicaments cytotoxiques et cytostatiques
180109	18 01 09 - médicaments autres que ceux visés à la rubrique 18 01 08
180110*	18 01 10* - déchets d'amalgame dentaire
180201	18 02 01 - objets piquants et coupants (sauf rubrique 18 02 02)
180202* - Cat1 - cadavres et parties d’animaux utilisés à des fins expérimentales (animaux expérimentaux)	18 02 02* - Cat1 - cadavres et parties d’animaux utilisés à des fins expérimentales (animaux expérimentaux)
180202*	18 02 02* - déchets dont la collecte et l'élimination font l'objet de prescriptions particulières vis-à-vis des risques d'infection
180203	18 02 03 - déchets dont la collecte et l'élimination ne font pas l'objet de prescriptions particulières vis-à-vis des risques d'infection
180205*	18 02 05* - produits chimiques à base de ou contenant des substances dangereuses
180206	18 02 06 - produits chimiques autres que ceux visés à la rubrique 18 02 05
180207*	18 02 07* - médicaments cytotoxiques et cytostatiques
180208	18 02 08 - médicaments autres que ceux visés à la rubrique 18 02 07
190102	19 01 02 - déchets de déferraillage des mâchefers
190105*	19 01 05* - gâteaux de filtration provenant de l'épuration des fumées
190106*	19 01 06* - déchets liquides aqueux provenant de l'épuration des fumées et autres déchets liquides aqueux
190107*	19 01 07* - déchets solides provenant de l'épuration des fumées
190110*	19 01 10* - charbon actif usé provenant de l'épuration des gaz de fumées
190111*	19 01 11* - mâchefers contenant des substances dangereuses
190112	19 01 12 - mâchefers autres que ceux visés à la rubrique 19 01 11
190113*	19 01 13* - cendres volantes contenant des substances dangereuses
190114	19 01 14 - cendres volantes autres que celles visées à la rubrique 19 01 13
190115*	19 01 15* - cendres sous chaudière contenant des substances dangereuses
190116	19 01 16 - cendres sous chaudière autres que celles visées à la rubrique 19 01 15
190117*	19 01 17* - déchets de pyrolyse contenant des substances dangereuses
190118	19 01 18 - déchets de pyrolyse autres que ceux visés à la rubrique 19 01 17
190119	19 01 19 - sables provenant de lits fluidisés
190199	19 01 99 - déchets non spécifiés ailleurs
190203	19 02 03 - déchets prémélangés composés seulement de déchets non dangereux
190204*	19 02 04* - déchets prémélangés contenant au moins un déchet dangereux
190205*	19 02 05* - boues provenant des traitements physico-chimiques contenant des substances dangereuses
190206	19 02 06 - boues provenant des traitements physico-chimiques autres que celles visées à la rubrique 19 02 05
190207*	19 02 07* - hydrocarbures et concentrés provenant d'une séparation
190208*	19 02 08* - déchets combustibles liquides contenant des substances dangereuses
190209*	19 02 09* - déchets combustibles solides contenant des substances dangereuses
190210	19 02 10 - déchets combustibles autres que ceux visés aux rubriques 19 02 08 et 19 02 09
190211*	19 02 11* - autres déchets contenant des substances dangereuses
190299	19 02 99 - déchets non spécifiés ailleurs
190304*	19 03 04* - déchets marqués comme dangereux partiellement stabilisés, autres que ceux visés à la rubrique 19 03 08
190305	19 03 05 - déchets stabilisés autres que ceux visés à la rubrique 19 03 04
190306*	19 03 06* - déchets catalogués comme dangereux, solidifiés
190307	19 03 07 - déchets solidifiés autres que ceux visés à la rubrique 19 03 06
190308*	19 03 08* - mercure partiellement stabilisé
190401	19 04 01 - déchets vitrifiés
190402*	19 04 02* - cendres volantes et autres déchets du traitement des gaz de fumée
190403*	19 04 03* - phase solide non vitrifiée
190404	19 04 04 - déchets liquides aqueux provenant de la trempe des déchets vitrifiés
190501	19 05 01 - fraction non compostée des déchets municipaux et assimilés
190502	19 05 02 - fraction non compostée des déchets animaux et végétaux
190503	19 05 03 - compost déclassé
190599	19 05 99 - déchets non spécifiés ailleurs
190603	19 06 03 - liqueurs provenant du traitement anaérobie des déchets municipaux
190604	19 06 04 - digestats provenant du traitement anaérobie des déchets municipaux
190605	19 06 05 - liqueurs provenant du traitement anaérobie des déchets animaux et végétaux
190606	19 06 06 - digestats provenant du traitement anaérobie des déchets animaux et végétaux
190699	19 06 99 - déchets non spécifiés ailleurs
190702*	19 07 02* - lixiviats de décharges contenant des substances dangereuses
190703	19 07 03 - lixiviats de décharges autres que ceux visés à la rubrique 19 07 02
190801	19 08 01 - déchets de dégrillage
190802	19 08 02 - déchets de dessablage
190805	19 08 05 - boues provenant du traitement des eaux usées urbaines
190806*	19 08 06* - résines échangeuses d'ions saturées ou usées
190807*	19 08 07* - solutions et boues provenant de la régénération des échangeurs d'ions
190808*	19 08 08* - déchets provenant des systèmes à membrane contenant des métaux lourds
190809 - Cat3 - mélanges de graisse et d'huile provenant de la séparation huile/eaux usées contenant seulement des huiles et graisses alimentaires de l'industrie alimentaire	19 08 09 - Cat3 - mélanges de graisse et d'huile provenant de la séparation huile/eaux usées contenant seulement des huiles et graisses alimentaires de l'industrie alimentaire
190809	19 08 09 - mélanges de graisse et d'huile provenant de la séparation huile/eaux usées contenant seulement des huiles et graisses alimentaires
190810*	19 08 10* - mélanges de graisse et d'huile provenant de la séparation huile/eaux usées autres que ceux visés à la rubrique 19 08 09
190811*	19 08 11* - boues contenant des substances dangereuses provenant du traitement biologique des eaux usées industrielles
190812	19 08 12 - boues provenant du traitement biologique des eaux usées industrielles autres que celles visées à la rubrique 19 08 11
190813*	19 08 13* - boues contenant des substances dangereuses provenant d'autres traitements des eaux usées industrielles
190814	19 08 14 - boues provenant d'autres traitements des eaux usées industrielles autres que celles visées à la rubrique 19 08 13
190899	19 08 99 - déchets non spécifiés ailleurs
190901	19 09 01 - déchets solides de première filtration et de dégrillage
190902	19 09 02 - boues de clarification de l'eau
190903	19 09 03 - boues de décarbonatation
190904	19 09 04 - charbon actif usé
190905	19 09 05 - résines échangeuses d'ions saturées ou usées
190906	19 09 06 - solutions et boues provenant de la régénération des échangeurs d'ions
